15.4673,5.5317,15.3994
6.1946,7.2163,12.7369
14.5886,6.4101,20.0471
16.3497,7.9579,22.8085
4.2214,3.0865,2.8108
12.1777,7.1423,17.4504
18.8572,3.3513,13.6464
9.3165,3.8953,8.6355
12.2539,6.9693,16.9363
11.9617,8.8614,20.8975
9.4347,6.2808,13.0432
20.5320,2.3815,15.1473
18.0633,6.3142,17.5094
5.9906,2.2965,3.9518
21.9466,8.1890,29.1115
19.8256,6.9670,21.9103
9.1104,3.2119,9.8136
19.0641,2.6420,13.2168
5.9156,3.2847,6.5930
21.9839,8.8602,26.3957
15.9823,5.2099,15.5713
15.7023,7.4886,18.6911
5.6279,6.4549,12.0451
20.1466,6.0069,18.7307
4.5220,3.0159,5.3171
8.3349,8.6222,18.7966
6.5744,4.1094,8.2255
17.9818,6.0461,18.2441
7.5677,6.8984,14.1620
20.3915,6.5446,20.6990
15.8128,8.5842,23.3624
4.6509,3.0391,1.6983
4.0977,5.5585,8.2433
4.9298,4.8282,4.9504
14.9067,5.3192,13.0872
18.4267,2.8345,15.0670
8.2940,2.9387,7.9704
19.2894,3.9465,14.5599
5.0302,4.1329,4.4618
18.4173,4.9953,12.5658
20.7003,6.2769,20.0523
17.8980,6.4424,22.9827
16.5662,4.8827,16.2533
19.0836,4.8615,16.3588
4.7227,3.5234,6.0857
7.6321,6.1181,9.7380
6.2486,4.2193,7.2213
